Row Key,Rank,Product Logo,Product Name,Product Range,Revenue,Revenue Trend,Item Sold,Average Unit Price,Commission Rate,Highest Revenue Videos IDs,Highest Revenue Videos,Highest Revenue Videos Images,Creator Number,Launch Date,Creator Conversion Rate
'1729497551838548393,1,product_logo_1.png,Yerba Magic | Yerba Mate Instant Tea Powder | 20 or 30 Serving Options,$29.99 - $54.99,$77.55k,revenue_trend_1.png,2.59k,$29.99,20%,"['7488076137671937326', '7493310484855262495', '7494737054044081454']",,"product_1_image_1.png, product_1_image_2.png, product_1_image_3.png",1.08k,2024-07-03,24.70%
'1729385986905510533,2,product_logo_2.png,Dream Coat For Curly Hair,$24.00,$56.64k,revenue_trend_2.png,2.36k,$24.00,15%,"['7489946430967221547', '7494381969099296031', '7483545372288175406']",,"product_2_image_4.png, product_2_image_5.png, product_2_image_6.png",291,2023-09-21,28.52%
'1729465781365085154,3,product_logo_3.png,Ultimate Men's Health Bundle - Snap Supplements - Nitric Oxide Booster 60ct + Prostate Health Bundle - Natural Supplement Capsules - Support Blood Circulation & Prostate Health,$39.95,$53.93k,revenue_trend_3.png,1.35k,$39.95,20%,"['7494450953412758830', '7477730792022560046', '7486274319400684843']",,"product_3_image_7.png, product_3_image_8.png, product_3_image_9.png",648,2024-05-02,19.44%
'1729408009245069576,4,product_logo_4.png,BoomBoom Nasal Stick: Free Your Nose | Featured on SharkTank | Powerful Essential Oils with Vapor Flow Technology | Breathe In Life,$19.95 - $24.95,$50.07k,revenue_trend_4.png,2.51k,$19.95,25%,"['7493320410029722910', '7493402674310810922', '7494977014059896094']",,"product_4_image_10.png, product_4_image_11.png, product_4_image_12.png",1.28k,2023-11-19,20.25%
'1730501450773467985,5,product_logo_5.png,"ZOOONE NR1000 - NAD+ Berry Flavor Drink Mix for Skin Aging Support, Energy, and Focus - 30 Pack -",$29.99 - $83.99,$49.78k,revenue_trend_5.png,1.66k,$29.99,20%,"['7494672850880646430', '7489043046701485343', '7486243519435410734']",,"product_5_image_13.png, product_5_image_14.png, product_5_image_15.png",194,2025-01-16,29.38%
'1729746772055003319,6,product_logo_6.png,"Westmore Beauty Body Coverage Perfector 3.5oz + X-Large Buffer Brush - Flawless Body Makeup, Concealer for Scars, Spots, Veins, Tattoos and More",$59.99,$48.23k,revenue_trend_6.png,804,$59.99,15%,"['7495113671086017834', '7494767408184298782', '7488485556910066990']",,"product_6_image_16.png, product_6_image_17.png, product_6_image_18.png",603,2024-10-30,12.77%
'1729403338518794392,7,product_logo_7.png,"Wavytalk Blowout Boost Ionic Thermal Brush 1 1/2 Inch with LED Display, 300℉-420℉ for Different Hair Types, 120-240V Universal Voltage",$32.95 - $40.98,$43.07k,revenue_trend_7.png,1.31k,$32.95,8%,"['7494357317928930590', '7468886170534022442', '7494895511699262763']",,"product_7_image_19.png, product_7_image_20.png, product_7_image_21.png",837,2023-10-09,17.44%
'1729542997783449608,8,product_logo_8.png,"THE MONSTERS - Have a Seat Vinyl Plush Blind Box, Mystery Box",$21.99,$42.86k,revenue_trend_8.png,1.95k,$21.99,-,[],,,2,2024-07-11,100.00%
'1729417158856250354,9,product_logo_9.png,"Physician's Choice Hack your Tummy Bundle: Digestive Enzymes & 60 Billion Probiotic - Digestion, Immune & Bloating Support for Men & Women",$36.62 - $59.48,$42.70k,revenue_trend_9.png,1.17k,$36.62,20%,"['7485916125457337630', '7476997779374624042', '7488758036924730667']",,"product_9_image_22.png, product_9_image_23.png, product_9_image_24.png",1.08k,2023-12-16,11.77%
'1729606769780232427,10,product_logo_10.png,[medicube Official] Affordable Glass Glow Skincare Set | Includes 8 TOP-SELLING products for Gentle Skin Renewal,$88.00,$39.34k,revenue_trend_10.png,447,$88.00,15%,"['7489627124127517998', '7468548950665104686', '7465419594661006638']",,"product_10_image_25.png, product_10_image_26.png, product_10_image_27.png",666,2024-09-03,16.37%
