Row Key,Rank,Video Content,Video Content Image,Video Name,Video Duration,Best Seller IDs,Product Name,Product Price,Product Image,Item Sold,Revenue,Revenue Trend,Views:,Views Trend,GPM,Ad CPA,Ad View Ratio,Ad Spend,Ad Roas
'7496616707151285550,1,video_7496616707151285550.mp4,video_7496616707151285550_image_1.png,Is the viral @Maybelline NY colossal bubble mascara Jeffree Star Approved?! 😇 It’s a #TikTokShop exclusive too… #makeupreview #jeffreestar #mascara #maybelline #affordablemakeup #BeautyTok #fyp #duet w @lex,2m 28s,['1730890193353609874'],"Colossal Bubble Washable Mascara, Buildable Mascara Volume and Length Formula for Bold, Separated Lashes, Maybelline",$12.99,product_1730890193353609874.png,3091,$40.15k,revenue_trend_7496616707151285550.png,4.01m,views_trend_7496616707151285550.png,$10.02,$0.00,0%,$0.00,0
'7498114465133628714,2,video_7498114465133628714.mp4,video_7498114465133628714_image_3.png,Convert-a-Bench Gen II XL from QVC! #patioseason,45s,['1731012068101624775'],"Colossal Bubble Washable Mascara, Buildable Mascara Volume and Length Formula for Bold, Separated Lashes, Maybelline",$12.99,product_1731012068101624775.png,210,$33.39k,revenue_trend_7498114465133628714.png,2.05m,views_trend_7498114465133628714.png,$16.30,$30.27,>90%,$6.36k,5.25
'7498151327529258286,3,video_7498151327529258286.mp4,video_7498151327529258286_image_5.png,"Replying to @Jennidg08 35 years of trying everything, and this is what finally changed my large pores. Insaneeeeeee….Korean beauty is living in 2050 I swear. #Drmelaxin #skinexfoliating #skincare #peelshotglow #exfoliation #riceexfoliator #tiktokshoprestock",58s,['1730145765796646939'],"Colossal Bubble Washable Mascara, Buildable Mascara Volume and Length Formula for Bold, Separated Lashes, Maybelline",$12.99,product_1730145765796646939.png,721,$25.60k,revenue_trend_7498151327529258286.png,891.1k,views_trend_7498151327529258286.png,$28.72,$7.79,>90%,$5.61k,4.56
'7492106570566782250,4,video_7492106570566782250.mp4,video_7492106570566782250_image_7.png,NEW bubble mascara from Maybelline for insane volume length and curl!! Only available on tiktok so grab it while ya can! @Maybelline NY #maybellinepartner #maybelline #colossalbubblemascara #colassalbubble #maybellinemascara #affordablemakeup #affordablemascara #mascarareview #tiktokshopnewarrivals #ttsbeautybesties #tiktokshopcreatorpicks,1m 55s,['1730890193353609874'],"Colossal Bubble Washable Mascara, Buildable Mascara Volume and Length Formula for Bold, Separated Lashes, Maybelline",$12.99,product_1730890193353609874.png,1622,$21.07k,revenue_trend_7492106570566782250.png,2.1m,views_trend_7492106570566782250.png,$10.02,$2.40,>90%,$3.90k,5.4
'7498538728533658910,5,video_7498538728533658910.mp4,video_7498538728533658910_image_9.png,Replying to @Karah and Molly Moose no you don’t need a license or a plate to ride the Drift.Slide e-bike! Which is awesome because that means anyone can ride it at any age! It goes 28 MPH and up to 60 miles on one charge #driftslide #ebike #etekhop #bike #bicycle #motorcycle #riding #cycling,47s,['1731051991576711924'],"Colossal Bubble Washable Mascara, Buildable Mascara Volume and Length Formula for Bold, Separated Lashes, Maybelline",$12.99,product_1731051991576711924.png,29,$19.98k,revenue_trend_7498538728533658910.png,386.63k,views_trend_7498538728533658910.png,$51.68,$0.00,0%,$0.00,0
'7498463851189488926,6,video_7498463851189488926.mp4,video_7498463851189488926_image_11.png,#cortisol #inflammationrelief #womenover30 #moringa #resultsmayvary,1m 16s,['1729464033034539782'],"Colossal Bubble Washable Mascara, Buildable Mascara Volume and Length Formula for Bold, Separated Lashes, Maybelline",$12.99,product_1729464033034539782.png,333,$16.65k,revenue_trend_7498463851189488926.png,330.26k,views_trend_7498463851189488926.png,$50.41,$0.00,0%,$0.00,0
'7494844097887456554,7,video_7494844097887456554.mp4,video_7494844097887456554_image_13.png,,2m 35s,['1729447692519837778'],"Colossal Bubble Washable Mascara, Buildable Mascara Volume and Length Formula for Bold, Separated Lashes, Maybelline",$12.99,product_1729447692519837778.png,590,$14.75k,revenue_trend_7494844097887456554.png,1.22m,views_trend_7494844097887456554.png,$12.12,$0.00,0%,$0.00,0
'7467962961743842606,8,video_7467962961743842606.mp4,video_7467962961743842606_image_15.png,insane tarte steallll!!!! RUN for two of their best products for $20!!!!!!! 🤭🤭 #fyp #foryou #tiktok #viral #TikTokShop #tarte #tartecosmetics #tartemaracujajuicylip #tartebundle #tartesale #tartedeals #tartemascara #tartelipoil,15s,['1729483130470699964'],"Colossal Bubble Washable Mascara, Buildable Mascara Volume and Length Formula for Bold, Separated Lashes, Maybelline",$12.99,product_1729483130470699964.png,495,$13.36k,revenue_trend_7467962961743842606.png,469.75k,views_trend_7467962961743842606.png,$28.45,$6.46,>90%,$3.20k,4.18
'7498827007917165866,9,video_7498827007917165866.mp4,video_7498827007917165866_image_17.png,13/10!!!!!!! BUYING MORE RIGHT NOW for my whole family 😂 #TTS #TikTokShop #tiktokshopfinds #gardentools,1m 35s,['1729387900735427500'],"Colossal Bubble Washable Mascara, Buildable Mascara Volume and Length Formula for Bold, Separated Lashes, Maybelline",$12.99,product_1729387900735427500.png,324,$12.95k,revenue_trend_7498827007917165866.png,570.91k,views_trend_7498827007917165866.png,$22.68,$9.36,>90%,$3.03k,4.27
'7494756344076029226,10,video_7494756344076029226.mp4,video_7494756344076029226_image_19.png,How to avoid being the “annoying” foreigner in Japan… #skincare #health #travel #japan,1m 53s,['1729464033034539782'],"Colossal Bubble Washable Mascara, Buildable Mascara Volume and Length Formula for Bold, Separated Lashes, Maybelline",$12.99,product_1729464033034539782.png,247,$12.35k,revenue_trend_7494756344076029226.png,245.47k,views_trend_7494756344076029226.png,$50.30,$0.00,0%,$0.00,0
